,POS,NEG,POS/NEG,SENT,text
1,1.031277741,8.782322859,0.117426535,negative,RT @AgendaOfEvil: #Syria: Video shows fundamentalists #beheading a man with a necklace #bomb. https://t.co/gLTZ8TbcUe
2,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
3,9.47547004,8.782322859,1.078925267,neutral,Everyone should totally check out Julie's picture on the school newspaper #bomb
4,1.031277741,25.45606213,0.040512069,negative,#Iraq: 16 Shiite pilgrims killed in suicide car #bomb attack in Iraq's #Baghdad. https://t.co/bifEG4AGOH
5,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
6,9.47547004,17.1191925,0.553499824,negative,"Y, EE, Add, And, Anda, Walk/Run. #Trap #Shit - #Retro #Bomb - We will make them walk the street as if carrying boulders #Exposed"
7,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
8,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
9,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
10,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
11,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
12,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
13,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
14,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
15,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
16,1.031277741,8.782322859,0.117426535,negative,I don't eat everybody's Banana Pudding.. But @PinkysWestside you outdid yourself <ed><U+00A0><U+00BD><ed><U+00B8><U+008B> #Bomb
17,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
18,1.031277741,8.782322859,0.117426535,negative,RT @LowpikG: #Kim #art #drawing #graffiti #Bomb #throwie #throwup #green.Blue #emoji #bubbles #follow #Lowpik https://t.co/MKtNkkK5j6
19,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
20,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
21,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
22,9.47547004,17.81233968,0.531961001,negative,"Brilliant idea! #Military #C-130Hercules #planes refitted to #seed #bomb 900,000 saplings/day. #reforestation #tree https://t.co/Ft63J3gpx4"
23,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
24,1.031277741,8.782322859,0.117426535,negative,"RT @GatorsSB: #DidYouKnow: Chelsea Herndon's home run this past Saturday was her first since May 29, 2014!! #GoGators #BOMB https://t.co/ak…"
